Year,Quarter,NamedCost,Values,COICOP,CDID,Source,Websource,Grouptotal
1999,Q2,Nettourism,1781000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
1999,Q3,Nettourism,2401000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
1999,Q4,Nettourism,877000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2000,Q1,Nettourism,1335000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2000,Q2,Nettourism,2183000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2000,Q3,Nettourism,3143000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2000,Q4,Nettourism,1302000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2001,Q1,Nettourism,1589000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2001,Q2,Nettourism,2888000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2001,Q3,Nettourism,4096000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2001,Q4,Nettourism,1880000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2002,Q1,Nettourism,2248000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2002,Q2,Nettourism,3235000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2002,Q3,Nettourism,4167000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2002,Q4,Nettourism,1904000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2003,Q1,Nettourism,2677000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2003,Q2,Nettourism,3679000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2003,Q3,Nettourism,4833000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2003,Q4,Nettourism,2089000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2004,Q1,Nettourism,2704000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2004,Q2,Nettourism,3531000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2004,Q3,Nettourism,4900000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2004,Q4,Nettourism,2224000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2005,Q1,Nettourism,2921000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2005,Q2,Nettourism,3509000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2005,Q3,Nettourism,5342000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2005,Q4,Nettourism,2108000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2006,Q1,Nettourism,3091000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2006,Q2,Nettourism,3801000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2006,Q3,Nettourism,4696000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2006,Q4,Nettourism,2106000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2007,Q1,Nettourism,2877000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2007,Q2,Nettourism,4168000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2007,Q3,Nettourism,5531000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2007,Q4,Nettourism,2281000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2008,Q1,Nettourism,4020000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2008,Q2,Nettourism,4613000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2008,Q3,Nettourism,6616000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2008,Q4,Nettourism,2384000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2009,Q1,Nettourism,3213000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2009,Q2,Nettourism,3570000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2009,Q3,Nettourism,5384000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2009,Q4,Nettourism,1870000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2010,Q1,Nettourism,3073000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2010,Q2,Nettourism,3909000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2010,Q3,Nettourism,6365000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2010,Q4,Nettourism,1919000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2011,Q1,Nettourism,2770000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2011,Q2,Nettourism,3859000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2011,Q3,Nettourism,5696000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2011,Q4,Nettourism,1947000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2012,Q1,Nettourism,2393000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2012,Q2,Nettourism,3577000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2012,Q3,Nettourism,5154000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2012,Q4,Nettourism,1761000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2013,Q1,Nettourism,2856000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2013,Q2,Nettourism,3433000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2013,Q3,Nettourism,5622000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2013,Q4,Nettourism,1701000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2014,Q1,Nettourism,2958000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2014,Q2,Nettourism,3041000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2014,Q3,Nettourism,5132000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2014,Q4,Nettourism,2358000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2015,Q1,Nettourism,3191000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2015,Q2,Nettourism,2920000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2015,Q3,Nettourism,6717000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2015,Q4,Nettourism,1698000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2016,Q1,Nettourism,3384000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2016,Q2,Nettourism,4316000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2016,Q3,Nettourism,8357000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2016,Q4,Nettourism,2510000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2017,Q1,Nettourism,3874000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2017,Q2,Nettourism,4568000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2017,Q3,Nettourism,7122000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2017,Q4,Nettourism,2387000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2018,Q1,Nettourism,4230000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2018,Q2,Nettourism,5187000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2018,Q3,Nettourism,8858000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2018,Q4,Nettourism,3789000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2019,Q1,Nettourism,4525000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2019,Q2,Nettourism,6027000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2019,Q3,Nettourism,10171000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2019,Q4,Nettourism,3560000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2020,Q1,Nettourism,3970000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2020,Q2,Nettourism,482000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2020,Q3,Nettourism,1344000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2020,Q4,Nettourism,255000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2021,Q1,Nettourism,165000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2021,Q2,Nettourism,1348000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2021,Q3,Nettourism,4780000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2021,Q4,Nettourism,615000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2022,Q1,Nettourism,3190000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2022,Q2,Nettourism,5512000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2022,Q3,Nettourism,10564000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
2022,Q4,Nettourism,4327000000.0,TOUR,ABTE,0GSCN,https://www.ons.gov.uk/search?q=ABTE,1
1997,Q1,Totaldomesticexpenditure,144596000000.0,0,ABQI,0GSCN,https://www.ons.gov.uk/search?q=ABQI,1
1997,Q2,Totaldomesticexpenditure,149867000000.0,0,ABQI,0GSCN,https://www.ons.gov.uk/search?q=ABQI,1
1997,Q3,Totaldomesticexpenditure,154844000000.0,0,ABQI,0GSCN,https://www.ons.gov.uk/search?q=ABQI,1
1997,Q4,Totaldomesticexpenditure,159396000000.0,0,ABQI,0GSCN,https://www.ons.gov.uk/search?q=ABQI,1
1998,Q1,Totaldomesticexpenditure,152787000000.0,0,ABQI,0GSCN,https://www.ons.gov.uk/search?q=ABQI,1
1998,Q2,Totaldomesticexpenditure,157558000000.0,0,ABQI,0GSCN,https://www.ons.gov.uk/search?q=ABQI,1
1998,Q3,Totaldomesticexpenditure,163416000000.0,0,ABQI,0GSCN,https://www.ons.gov.uk/search?q=ABQI,1
1998,Q4,Totaldomesticexpenditure,167532000000.0,0,ABQI,0GSCN,https://www.ons.gov.uk/search?q=ABQI,1
1999,Q1,Totaldomesticexpenditure,160845000000.0,0,ABQI,0GSCN,https://www.ons.gov.uk/search?q=ABQI,1
1999,Q2,Totaldomesticexpenditure,166028000000.0,0,ABQI,0GSCN,https://www.ons.gov.uk/search?q=ABQI,1
1999,Q3,Totaldomesticexpenditure,169195000000.0,0,ABQI,0GSCN,https://www.ons.gov.uk/search?q=ABQI,1
1999,Q4,Totaldomesticexpenditure,174518000000.0,0,ABQI,0GSCN,https://www.ons.gov.uk/search?q=ABQI,1
2000,Q1,Totaldomesticexpenditure,168268000000.0,0,ABQI,0GSCN,https://www.ons.gov.uk/search?q=ABQI,1
2000,Q2,Totaldomesticexpenditure,172606000000.0,0,ABQI,0GSCN,https://www.ons.gov.uk/search?q=ABQI,1
2000,Q3,Totaldomesticexpenditure,177522000000.0,0,ABQI,0GSCN,https://www.ons.gov.uk/search?q=ABQI,1
2000,Q4,Totaldomesticexpenditure,183147000000.0,0,ABQI,0GSCN,https://www.ons.gov.uk/search?q=ABQI,1
2001,Q1,Totaldomesticexpenditure,174795000000.0,0,ABQI,0GSCN,https://www.ons.gov.uk/search?q=ABQI,1
